PageURL,Type,variable,value
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html,Immigration,1.1.2017,0
www.canada.ca/en/services/jobs/opportunities/government.html,Jobs,1.1.2017,126698
www.canada.ca/en/services/taxes/income-tax/personal-income-tax.html,Taxes,1.1.2017,28875
www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/payments.html,Benefits,1.1.2017,239534
www.canada.ca/en/services/benefits.html,Benefits,1.1.2017,232845
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply-passport-information.html,Immigration,1.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/cra-login-services/cra-login-services-register-forgot-your-user.html,Taxes,1.1.2017,0
www.canada.ca/en/services/benefits/ei/ei-regular-benefit/apply.html,Benefits,1.1.2017,204159
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/account-individuals/help-account.html,Taxes,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/study-canada.html,Immigration,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/apply-visitor-visa.html,Immigration,1.1.2017,0
www.canada.ca/en/services/benefits/publicpensions/cpp.html,Benefits,1.1.2017,258234
www.canada.ca/en/revenue-agency/services/e-services/payment-save-time-pay-online.html,Taxes,1.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/mycra.html,Taxes,1.1.2017,0
www.canada.ca/en/revenue-agency/services/make-a-payment-canada-revenue-agency.html,Taxes,1.1.2017,0
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/portal/page/portal/msca/private/faces/oracle/webcenter/portalapp/pages/message-centre.jspx,Employment and Social Development ,1.1.2017,0
www.canada.ca/en/employment-social-development/corporate/contact/ei-individual.html,Employment and Social Development ,1.1.2017,141175
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/works.html,Immigration,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/application-canadian-citizenship-adults.html,Immigration,1.1.2017,0
www1.canada.ca/fr/deconnexion/mdsc.html,Employment and Social Development ,1.1.2017,0
www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-benefit/amount.html,Benefits,1.1.2017,169808
www.canada.ca/en/services/taxes/gsthst.html,Taxes,1.1.2017,27918
search-recherche.gc.ca/rGs/s_r,Canada.Ca Search,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/guide-5256-applying-visitor-visa-temporary-resident-visa.html,Immigration,1.1.2017,0
www.canada.ca/fr/services/prestations/ae/assurance-emploi-reguliere.html,Employment and Social Development ,1.1.2017,422405
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/become-candidate/eligibility/find-national-occupation-code.html,Immigration,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/eligibility/find-national-occupation-code.html,Immigration,1.1.2017,0
www.canada.ca/fr/sr.html,Canada.Ca Home Page,1.1.2017,168029
www.canada.ca/en/revenue-agency/services/child-family-benefits/benefit-payment-dates.html,Taxes,1.1.2017,0
www.canada.ca/en/services/benefits/ei/ei-apply-online.html,Benefits,1.1.2017,229869
www.canada.ca/en/services/benefits/ei/ei-regular-benefit/eligibility.html,Benefits,1.1.2017,130618
www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship.html,Immigration,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/corporate/contact-ircc.html,Immigration,1.1.2017,0
www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security.html,Benefits,1.1.2017,173081
www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports.html,Immigration,1.1.2017,0
www.canada.ca/en/employment-social-development.html,Employment and Social Development ,1.1.2017,161257
www.canada.ca/en/revenue-agency.html,Taxes,2.1.2017,45847
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/portal/page/portal/msca/private/faces/oracle/webcenter/portalapp/pages/home.jspx,Employment and Social Development ,2.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/account-individuals.html,Taxes,2.1.2017,0
www.canada.ca/en/employment-social-development/services/my-account/access.html,Employment and Social Development ,2.1.2017,3355468
www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html,Immigration,2.1.2017,0
www.canada.ca/en/employment-social-development/services/my-account.html,Employment and Social Development ,2.1.2017,2810334
www.canada.ca/en/services/immigration-citizenship.html,Immigration,2.1.2017,0
www.canada.ca/en.html,Canada.Ca Home Page,2.1.2017,1671419
www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html,Employment and Social Development ,2.1.2017,2329555
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/portal/page/portal/msca/private/faces/oracle/webcenter/portalapp/pages/ei-correspondence.jspx,Employment and Social Development ,2.1.2017,0
www.canada.ca/en/services/benefits/ei/ei-internet-reporting.html,Benefits,2.1.2017,1302011
www.canada.ca/en/revenue-agency/services/e-services/represent-a-client.html,Taxes,2.1.2017,0
www.canada.ca/en/services/benefits/ei.html,Benefits,2.1.2017,1345057
www.canada.ca/en/immigration-refugees-citizenship/services/application.html,Immigration,2.1.2017,0
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyPayments.aspx,Employment and Social Development ,2.1.2017,0
www.canada.ca/en/sr.html,Canada.Ca Home Page,2.1.2017,735622
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyCurrentClaim.aspx,Employment and Social Development ,2.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/cra-login-services.html,Taxes,2.1.2017,0
www.canada.ca/fr/emploi-developpement-social/services/mon-dossier/acceder.html,Employment and Social Development ,2.1.2017,787324
www.canada.ca/home.html,Canada.Ca Home Page,2.1.2017,424173
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyRoeList.aspx,Employment and Social Development ,2.1.2017,0
www1.canada.ca/en/logout/msca.html,Canada.Ca Home Page,2.1.2017,2493
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html,Immigration,2.1.2017,0
www.canada.ca/fr/emploi-developpement-social/services/mon-dossier.html,Employment and Social Development ,2.1.2017,601238
www.canada.ca/en/sr/srb.html,Canada.Ca Search,2.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada.html,Immigration,2.1.2017,0
www.canada.ca/fr/agence-revenu/services/services-electroniques/services-electroniques-particuliers/dossier-particuliers.html,Taxes,2.1.2017,0
www.canada.ca/en/services/taxes/income-tax.html,Taxes,2.1.2017,122675
www.canada.ca/fr.html,Canada.Ca Home Page,2.1.2017,372146
